zero|0|00
or_i|or_i(pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e),pk(03b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a))|632102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac672103b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80aac68
andor|andor(pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e),pk(03b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a),pk(0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798))|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac64210279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac672103b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80aac68
a|a:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|6b2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac6c
s|s:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|7c2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac
c|c:pk_k(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac
d|dv:older(42)|7663012ab26968
v|v:older(42)|012ab269
j|j:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|8292632102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac68
n|n:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac92
thresh|thresh(2,pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e),s:pk(03b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a))|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac7c2103b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80aac935287
multi|multi(2,02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e,03b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a,0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798)|522102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e2103b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a210279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f8179853ae
surface_core|1|51
surface_pk|pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac
surface_pkh|pkh(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|76a9149fc5dbe5efdce10374a4dd4053c93af54021171888ac
surface_and_n|and_n(pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e),pk(03b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a))|2102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac6400672103b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80aac68
surface_t|tv:older(42)|012ab26951
surface_l|l:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|6300672102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac68
surface_u|u:pk(02d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e)|632102d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac670068
multi_a|multi_a(2,d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e,b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80a,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798)|20d7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080eac20b506a1dbe57b4bf48c95e0c7d417b87dd3b4349d290d2e7e9ba72c912652d80aba2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ba529c
